,Calls,Calls,Calls,Calls,Calls,Calls,Calls,StrikePrice,Puts,Puts,Puts,Puts,Puts,Puts,Puts
,Updated,Volume,High,Low,Prior Settle,Change,Last,StrikePrice,Last,Change,Prior Settle,Low,High,Volume,Updated
0,16:45:00 CT 30 Jun 2021,0,-,-,0.0199,-,-,1800.0,-,-,5e-05,-,-,0,16:45:00 CT 30 Jun 2021
1,20:22:41 CT 30 Jun 2021,0,-,-,0.0149,-,-,1850.0,-,-,5e-05,-,-,0,20:22:41 CT 30 Jun 2021
2,20:22:41 CT 30 Jun 2021,0,-,-,0.0099,-,-,1900.0,-,-,5e-05,-,-,0,16:45:00 CT 30 Jun 2021
3,16:45:00 CT 30 Jun 2021,0,-,-,0.0049,-,-,1950.0,-,-,5e-05,-,-,0,16:45:00 CT 30 Jun 2021
4,16:45:00 CT 30 Jun 2021,0,-,-,5e-05,-,-,2000.0,-,-,0.0001,-,-,0,16:45:00 CT 30 Jun 2021
5,16:45:00 CT 30 Jun 2021,0,-,-,5e-05,-,-,2050.0,-,-,0.0051,-,-,0,16:45:00 CT 30 Jun 2021
6,16:45:00 CT 30 Jun 2021,0,-,-,5e-05,-,-,2100.0,-,-,0.0101,-,-,0,16:45:00 CT 30 Jun 2021
7,16:45:00 CT 30 Jun 2021,0,-,-,5e-05,-,-,2150.0,-,-,0.0151,-,-,0,16:45:00 CT 30 Jun 2021
8,16:45:00 CT 30 Jun 2021,0,-,-,5e-05,-,-,2200.0,-,-,0.0201,-,-,0,16:45:00 CT 30 Jun 2021
9,16:45:00 CT 30 Jun 2021,0,-,-,5e-05,-,-,2250.0,-,-,0.0251,-,-,0,16:45:00 CT 30 Jun 2021
