Dates,USDBRL,BCN3M
1/3/2011,1.6496,314.49
1/4/2011,1.6618,313
1/5/2011,1.6746,297.5
1/6/2011,1.6861,294.75
1/7/2011,1.6875,306.75
1/10/2011,1.689,324.75
1/11/2011,1.6881,332.5
1/12/2011,1.6754,324.75
1/13/2011,1.6677,391.75
1/14/2011,1.6844,351.25
1/17/2011,1.6823,345.5
1/18/2011,1.6764,365.5
1/19/2011,1.6732,365.5
1/20/2011,1.6738,352.99
1/21/2011,1.6684,340.75
1/24/2011,1.6713,347.51
1/25/2011,1.672,297.34
1/26/2011,1.6703,329.74
1/27/2011,1.6785,325.75
1/28/2011,1.6846,318.75
1/31/2011,1.6736,337.24
2/1/2011,1.6624,339
2/2/2011,1.6674,342
2/3/2011,1.6696,345
2/4/2011,1.6734,332.5
2/7/2011,1.6772,324.5
2/8/2011,1.6655,344
2/9/2011,1.6602,328.99
2/10/2011,1.67,351
2/11/2011,1.666,317
2/14/2011,1.6675,328.99
2/15/2011,1.6692,338
2/16/2011,1.6714,326
2/17/2011,1.6626,327
2/18/2011,1.6635,330.49
2/21/2011,1.6668,313.51
2/22/2011,1.6708,304.5
2/23/2011,1.6754,307.99
2/24/2011,1.664,333.25
2/25/2011,1.6751,278.5
2/28/2011,1.6632,316.5
3/1/2011,1.6633,303.99
3/2/2011,1.6595,308.5
3/3/2011,1.651,328.5
3/4/2011,1.6435,333.5
3/7/2011,1.6435,333.5
3/8/2011,1.6435,333.5
3/9/2011,1.6547,327
3/10/2011,1.6617,329.5
3/11/2011,1.6647,335.75
3/14/2011,1.66,335.25
3/15/2011,1.666,348.01
3/16/2011,1.6756,378.5
3/17/2011,1.6784,362.01
3/18/2011,1.6652,352.5
3/21/2011,1.666,347
3/22/2011,1.6598,332.5
3/23/2011,1.6608,338.5
3/24/2011,1.659,332.75
3/25/2011,1.6599,328.75
3/28/2011,1.6629,325.5
3/29/2011,1.6463,330
3/30/2011,1.6291,328.01
3/31/2011,1.6325,325
4/1/2011,1.6066,302
4/4/2011,1.6076,357.74
4/5/2011,1.6095,296.5
4/6/2011,1.6146,282.5
4/7/2011,1.5867,248
4/8/2011,1.573,245.5
4/11/2011,1.5833,254.5
4/12/2011,1.5947,254.75
4/13/2011,1.5868,286.01
4/14/2011,1.5781,265
4/15/2011,1.5767,257.01
4/18/2011,1.5893,250.5
4/19/2011,1.5772,239
4/20/2011,1.566,221
4/21/2011,1.566,220.5
4/22/2011,1.566,220.5
4/25/2011,1.5696,227.5
4/26/2011,1.5625,215.75
4/27/2011,1.5659,190.01
4/28/2011,1.5778,151
4/29/2011,1.5743,173
5/2/2011,1.5884,169.75
5/3/2011,1.5866,243.5
5/4/2011,1.6176,260.5
5/5/2011,1.6221,286
5/6/2011,1.6155,270
5/9/2011,1.6142,278.25
5/10/2011,1.6038,271.5
5/11/2011,1.6219,289.5
5/12/2011,1.6195,291.5
5/13/2011,1.6367,315.5
5/16/2011,1.6353,318.01
5/17/2011,1.6165,318
5/18/2011,1.6097,307.25
5/19/2011,1.6164,299.01
5/20/2011,1.6236,180.36
5/23/2011,1.6333,300.5
5/24/2011,1.624,289.5
5/25/2011,1.6297,289.49
5/26/2011,1.615,318
5/27/2011,1.5948,319.5
5/30/2011,1.5939,430.75
5/31/2011,1.5805,305.5
6/1/2011,1.5942,302.13
6/2/2011,1.5746,295.5
6/3/2011,1.575,303
6/6/2011,1.5839,277.25
6/7/2011,1.5797,290
6/8/2011,1.5831,296
6/9/2011,1.5832,308.5
6/10/2011,1.5968,309.51
6/13/2011,1.5837,318.5
6/14/2011,1.5837,321.5
6/15/2011,1.6002,323.76
6/16/2011,1.6029,328.25
6/17/2011,1.5974,327.76
6/20/2011,1.597,332.76
6/21/2011,1.5861,338.25
6/22/2011,1.591,334.76
6/23/2011,1.591,339.76
6/24/2011,1.6047,341.01
6/27/2011,1.5943,344.25
6/28/2011,1.5764,340.75
6/29/2011,1.5706,331.5
6/30/2011,1.5635,339.75
7/1/2011,1.556,300.75
7/4/2011,1.553,286.75
7/5/2011,1.5646,295
7/6/2011,1.5697,319.5
7/7/2011,1.5537,321
7/8/2011,1.5624,343.01
7/11/2011,1.5773,300
7/12/2011,1.5791,321
7/13/2011,1.5751,316.25
7/14/2011,1.5792,308.76
7/15/2011,1.5743,312
7/18/2011,1.5742,303.25
7/19/2011,1.5633,296.75
7/20/2011,1.5658,290.76
7/21/2011,1.5523,279.5
7/22/2011,1.552,260.75
7/25/2011,1.5398,241.75
7/26/2011,1.5391,252.75
7/27/2011,1.555,282
7/28/2011,1.5675,290.76
7/29/2011,1.5497,306
8/1/2011,1.5658,304.75
8/2/2011,1.5684,283.5
8/3/2011,1.5591,259
8/4/2011,1.5888,264.01
8/5/2011,1.5778,260
8/8/2011,1.6256,303.5
8/9/2011,1.5885,309.76
8/10/2011,1.6246,307.01
8/11/2011,1.6242,350
8/12/2011,1.611,298.5
8/15/2011,1.5895,285
8/16/2011,1.5902,268.01
8/17/2011,1.5882,248.5
8/18/2011,1.599,260.51
8/19/2011,1.5995,259.75
8/22/2011,1.6066,250.25
8/23/2011,1.5971,254.5
8/24/2011,1.6131,234
8/25/2011,1.6098,254.5
8/26/2011,1.6033,215.01
8/29/2011,1.5914,275.75
8/30/2011,1.5944,238
8/31/2011,1.5896,246.75
9/1/2011,1.6197,258.76
9/2/2011,1.6409,287.5
9/5/2011,1.645,288.75
9/6/2011,1.657,304.75
9/7/2011,1.657,282.5
9/8/2011,1.6602,299.25
9/9/2011,1.6736,301.75
9/12/2011,1.7028,324
9/13/2011,1.7097,315
