Dates,AUDJPY,AUDJPY3M
1/3/2011,83.105,-101.83
1/4/2011,82.453,-100.37
1/5/2011,83.21,-100.95
1/6/2011,82.848,-99.93
1/7/2011,82.801,-100.78
1/10/2011,82.341,-100.16
1/11/2011,82.17,-99.68
1/12/2011,82.715,-100.25
1/13/2011,82.615,-100.03
1/14/2011,81.941,-99.54
1/17/2011,82.161,-99.74
1/18/2011,82.505,-99.85
1/19/2011,82.09,-100.93
1/20/2011,81.927,-102.25
1/21/2011,81.725,-101.43
1/24/2011,82.309,-99.56
1/25/2011,81.975,-98.38
1/26/2011,82.111,-97.18
1/27/2011,82.25,-95.29
1/28/2011,81.633,-97.56
1/31/2011,81.832,-96.53
2/1/2011,82.261,-100.54
2/2/2011,82.375,-101.28
2/3/2011,82.875,-99.13
2/4/2011,83.317,-99.58
2/7/2011,83.435,-98.65
2/8/2011,83.566,-98.27
2/9/2011,83.364,-103.68
2/10/2011,83.581,-100.15
2/11/2011,83.599,-99.96
2/14/2011,83.567,-98.61
2/15/2011,83.471,-98.45
2/16/2011,83.952,-99.22
2/17/2011,84.305,-100.28
2/18/2011,84.399,-100.35
2/21/2011,83.919,-98.68
2/22/2011,82.671,-97.05
2/23/2011,82.695,-96.73
2/24/2011,82.615,-96.86
2/25/2011,83.12,-96.86
2/28/2011,83.3,-100.88
3/1/2011,82.951,-100.62
3/2/2011,83.254,-102.63
3/3/2011,83.646,-101.15
3/4/2011,83.458,-101.18
3/7/2011,83.215,-100.65
3/8/2011,83.482,-100.79
3/9/2011,83.634,-104.02
3/10/2011,83.048,-101.6
3/11/2011,82.977,-101.55
3/14/2011,82.426,-100.3
3/15/2011,79.992,-93.52
3/16/2011,78.305,-94.86
3/17/2011,77.333,-92.74
3/18/2011,80.243,-97.09
3/21/2011,81.537,-98.45
3/22/2011,81.803,-97.94
3/23/2011,81.979,-100.03
3/24/2011,82.69,-98.71
3/25/2011,83.457,-99.55
3/28/2011,83.689,-99.9
3/29/2011,84.874,-99.99
3/30/2011,85.617,-100.7
3/31/2011,85.866,-102.5
4/1/2011,87.32,-103.39
4/4/2011,87.107,-103.25
4/5/2011,87.658,-103.74
4/6/2011,89.258,-105.59
4/7/2011,88.896,-105.74
4/8/2011,89.542,-106.76
4/11/2011,88.794,-105.94
4/12/2011,87.234,-104.19
4/13/2011,88.082,-104.95
4/14/2011,88.033,-105.76
4/15/2011,87.858,-104.33
4/18/2011,86.862,-103.64
4/19/2011,86.927,-103.28
4/20/2011,88.449,-104.72
4/21/2011,87.969,-105.3
4/22/2011,87.903,-104.82
4/25/2011,87.733,-104.76
4/26/2011,87.951,-105.14
4/27/2011,89.291,-107.95
4/28/2011,89.063,-110.03
4/29/2011,89.055,-107.89
5/2/2011,88.848,-108.04
5/3/2011,87.743,-106.01
5/4/2011,86.605,-105.06
5/5/2011,84.716,-102.87
5/6/2011,86.281,-106.15
5/9/2011,86.843,-107.11
5/10/2011,87.655,-107.85
5/11/2011,86.727,-108.96
5/12/2011,86.428,-105.87
5/13/2011,85.423,-104.82
5/16/2011,85.276,-104.76
5/17/2011,86.519,-106.44
5/18/2011,86.817,-108.77
5/19/2011,87.077,-106.7
5/20/2011,87.097,-106.64
5/23/2011,86.149,-105.19
5/24/2011,86.534,-105.02
5/25/2011,86.332,-107.04
5/26/2011,86.529,-105.37
5/27/2011,86.493,-105.49
5/30/2011,86.531,-105.22
5/31/2011,86.998,-105.5
6/1/2011,85.926,-108.11
6/2/2011,86.306,-105.59
6/3/2011,86.053,-105.34
6/6/2011,85.81,-105.18
6/7/2011,85.87,-104.08
6/8/2011,84.88,-104.75
6/9/2011,85.404,-102.74
6/10/2011,84.637,-102.04
6/13/2011,85.072,-102.78
6/14/2011,86.002,-104.13
6/15/2011,85.629,-108.11
6/16/2011,85.122,-103.61
6/17/2011,85.033,-102.65
6/20/2011,84.928,-102.81
6/21/2011,85.065,-105.9
6/22/2011,84.896,-103.11
6/23/2011,84.724,-102.09
6/24/2011,84.372,-101.98
6/27/2011,84.479,-101.11
6/28/2011,85.509,-102.9
6/29/2011,86.289,-106.98
6/30/2011,86.381,-104.19
7/1/2011,87.049,-105.08
7/4/2011,86.727,-104.8
7/5/2011,86.689,-104.63
7/6/2011,86.583,-107.87
7/7/2011,87.55,-106.32
7/8/2011,86.695,-105.29
7/11/2011,85.53,-104.13
7/12/2011,83.975,-101.58
7/13/2011,84.978,-104.27
7/14/2011,84.864,-101.96
7/15/2011,84.283,-101.73
7/18/2011,83.838,-100.92
7/19/2011,84.982,-102.91
7/20/2011,84.695,-105.53
7/21/2011,84.885,-103.54
7/22/2011,85.225,-103.52
7/25/2011,84.909,-103.38
7/26/2011,85.337,-104.08
7/27/2011,85.937,-108.93
7/28/2011,85.462,-106.39
7/29/2011,84.402,-107.06
8/1/2011,84.708,-106.32
8/2/2011,83.163,-102.05
8/3/2011,82.876,-101.78
8/4/2011,82.545,-101.68
8/5/2011,81.87,-99.08
8/8/2011,79.219,-100.41
8/9/2011,79.704,-99.38
8/10/2011,78.229,-98.54
8/11/2011,79.549,-98.32
8/12/2011,79.438,-96.09
8/15/2011,80.725,-95.65
8/16/2011,80.527,-95.69
8/17/2011,80.816,-100.08
8/18/2011,79.571,-96.32
8/19/2011,79.657,-98.21
8/22/2011,79.931,-95.57
8/23/2011,80.692,-97.09
8/24/2011,80.626,-98.02
8/25/2011,80.805,-97.28
8/26/2011,81.045,-97.76
8/29/2011,81.875,-98.11
8/30/2011,81.977,-97.84
8/31/2011,82.079,-97.42
9/1/2011,82.475,-98.18
9/2/2011,81.751,-97.91
9/5/2011,81.129,-97.25
9/6/2011,81.418,-98.47
9/7/2011,82.371,-99.21
9/8/2011,81.966,-98.78
9/9/2011,81.261,-99.11
9/12/2011,79.897,-95.55
9/13/2011,79.35,-93.97
9/14/2011,78.796,-93.85
9/15/2011,79.205,-94.78
9/16/2011,79.561,-95.43
9/19/2011,78.288,-93.83
9/20/2011,78.566,-94.54
9/21/2011,76.761,-94.39
9/22/2011,74.266,-91.15
9/23/2011,74.915,-91.58
9/26/2011,75.083,-90.14
9/27/2011,76.149,-91.8
9/28/2011,74.93,-90.21
9/29/2011,75.157,-91.39
9/30/2011,74.452,-91.17
10/3/2011,73.013,-90.09
10/4/2011,73.525,-90.67
10/5/2011,74.174,-93.59
10/6/2011,74.775,-92.31
10/7/2011,74.956,-93.03
10/10/2011,76.586,-95.25
10/11/2011,76.286,-94.62
10/12/2011,78.488,-99.71
