Calls on Jun 26th 2021 (price of SPY 426.61),,,
DaysExp,Strike,Mid,IVM
55,423,10.63000011,13.03601863
55,424,9.914999962,12.78362987
55,425,9.21999979,12.54387223
55,426,8.554999828,12.31557858
55,427,7.899999857,12.06703391
55,428,7.269999981,11.84145724
55,429,6.669999838,11.62249148
55,430,6.095000029,11.40098615
55,431,5.545000076,11.19059913
55,432,5.03000021,10.99786601
83,423,13.27999973,14.02146282
83,424,12.59000015,13.81106587
83,425,11.89999962,13.62324419
83,426,11.23500013,13.41878563
83,427,10.59000015,13.22658364
83,428,9.960000038,13.03623488
83,429,9.335000038,12.83964087
83,430,8.740000248,12.64735778
83,431,8.170000076,12.47306704
83,432,7.61500001,12.29635626
96,423,14.12000036,14.31588122
96,424,13.42999983,14.12945156
96,425,12.75499964,13.93584095
96,426,12.08999968,13.74525537
96,427,11.44000006,13.55597024
96,428,10.80000019,13.37025077
96,429,10.18499994,13.19079728
96,430,9.585000038,13.00521447
96,431,9.005000114,12.83195614
96,432,8.444999695,12.66427627
111,423,15.42999983,14.7836285
111,424,14.74499989,14.66406779
111,425,14.08500004,14.50020269
111,426,13.42999983,14.32788395
111,427,12.78999996,14.16352007
111,428,12.15500021,13.97655329
111,429,11.53999996,13.81480846
111,430,10.94000006,13.64855479
111,431,10.36000013,13.48943201
111,432,9.795000076,13.3327801
146,423,18.09500027,15.58459876
146,424,17.42500019,15.40830769
146,425,16.77000046,15.2486917
146,426,16.125,15.08657246
146,427,15.48999977,14.92205361
146,428,14.86999989,14.76893373
146,429,14.25500011,14.61281608
146,430,13.65499973,14.46302911
146,431,13.06999969,14.3144424
146,432,12.49499989,14.17501101
174,423,19.77000046,15.76710046
174,424,19.10000038,15.61559384
174,425,18.44000053,15.46795451
174,426,17.79999924,15.3311234
174,427,17.17500019,15.21089437
174,428,16.55999947,15.07719597
174,429,15.95000029,14.94474656
174,430,15.34500027,14.81300741
174,431,14.75,14.67281889
174,432,14.17000008,14.54542731
188,423,20.42500019,15.8633416
188,424,19.75999928,15.72531573
188,425,19.09999943,15.58273919
188,426,18.44999981,15.43995396
188,427,17.82000065,15.31829046
188,428,17.20499992,15.18795952
188,429,16.59499931,15.05908858
188,430,15.99000025,14.92300141
188,431,15.40500021,14.80376645
188,432,14.80999994,14.6642049
209,423,21.54500008,16.00587941
209,424,20.88500023,15.86587601
209,425,20.2300005,15.73569891
209,426,19.58500004,15.60712586
209,427,18.96000004,15.47584253
209,428,18.33500004,15.35183576
209,429,17.7300005,15.23620764
209,430,17.125,15.10031718
209,431,16.53999996,14.98938733
209,432,15.95499992,14.86903513
